title, id, link, display, culture, type,medium simple,medium detail, medium, date, origin, link2, topic,animals, period
Six groups of fighting animals,edanmdm-fsg_F1907.581,https://asia.si.edu/object/F1907.581/,No,Himalayan peoples%South Asians,Painting%,paper,ink,Ink on paper,18th century,India,https://asia.si.edu/object/F1907.581/,South Asian and Himalayan Art%Cats%Art%Animals%Mughal dynasty (1526 - 1858)%Antelope%,"antelope, leopard,lion",Mughal dynasty
Support in the form of a bear,edanmdm-fsg_F1919.64,https://asia.si.edu/object/F1919.64/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze with gilding,Bronze with gilding% turquoise inlay% and red pigment (?),206 BCE-220 CE possibly 1st century CE,China,https://asia.si.edu/object/F1919.64/,Gilding%Art%Animals%Sculpture%Chinese Art%Inlay%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of a bear,edanmdm-fsg_F1919.77,https://asia.si.edu/object/F1919.77/,No,Chinese,Sculpture%Metalwork%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1919.77/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of a bear,edanmdm-fsg_F1919.78,https://asia.si.edu/object/F1919.78/,No,Chinese,Sculpture%Metalwork%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1919.78/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Ornament with bear,edanmdm-fsg_F1913.101,https://asia.si.edu/object/F1913.101/,No,Chinese,Metalwork%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1913.101/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Ornament with bear,edanmdm-fsg_F1913.188,https://asia.si.edu/object/F1913.188/,No,Chinese,Metalwork%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1913.188/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of bear,edanmdm-fsg_F1915.40,https://asia.si.edu/object/F1915.40/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.40/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Possibly Han dynasty
Support in the form of a bear,edanmdm-fsg_F1915.41,https://asia.si.edu/object/F1915.41/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.41/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of a bear,edanmdm-fsg_F1915.74,https://asia.si.edu/object/F1915.74/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze with inlay,Bronze with gilding and turquoise inlay,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.74/,Gilding%Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Inlay%Western Han dynasty (206 BCE - 9 CE)%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of a bear,edanmdm-fsg_F1915.140,https://asia.si.edu/object/F1915.140/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.140/,Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
